# start_sec	end_sec	midi_note	# syllable
0.000	0.375	67	# Am
0.375	0.562	64	# I
0.562	0.750	64	# a
0.750	1.125	67	# clank
1.125	1.312	64	# er
1.312	1.500	67	# Is
1.500	1.688	64	# it
1.688	1.875	64	# a
1.875	2.438	67	# slur
2.438	2.625	64	# In
2.625	2.812	64	# the
2.812	3.188	67	# lean
3.188	3.562	69	# world
3.562	3.750	65	# the
3.750	3.938	69	# lines
3.938	4.125	65	# are
4.125	4.312	65	# a
4.312	4.875	69	# blur
4.875	5.062	65	# But
5.062	5.250	65	# in
5.250	5.438	65	# the
5.438	5.812	69	# Sat
5.812	6.000	65	# u
6.000	6.188	69	# rat
6.188	6.375	65	# ed
6.375	6.750	69	# Sin
6.750	6.938	65	# gu
6.938	7.125	69	# lar
7.125	7.312	65	# i
7.312	7.500	65	# ty
7.500	7.875	69	# ba
7.875	8.062	65	# by
8.062	8.250	65	# The
8.250	8.625	69	# noise
8.625	8.812	65	# is
8.812	9.000	65	# the
9.000	9.375	71	# gold
9.375	9.562	67	# the
9.562	9.750	71	# lo
9.750	9.938	67	# gic
9.938	10.125	67	# is
10.125	10.500	71	# ha
10.500	10.688	67	# zy
10.688	11.062	71	# Clank
11.062	11.438	71	# clank
11.438	11.625	71	# siz
11.625	11.812	67	# zle
11.812	12.188	71	# pop
12.188	12.562	71	# S
12.562	12.938	71	# U
12.938	13.312	71	# M
13.312	13.688	71	# M
13.688	14.062	71	# A
14.062	14.438	71	# C
14.438	14.812	71	# U
14.812	15.188	71	# M
15.188	15.562	71	# S
15.562	15.938	71	# L
15.938	16.312	71	# O
16.312	17.062	69	# P
17.062	17.438	69	# Deep
17.438	17.812	69	# fried
17.812	18.000	69	# run
18.000	18.188	65	# time
18.188	18.562	69	# plat
18.562	18.750	65	# in
18.750	18.938	65	# um
18.938	19.312	69	# grade
19.312	19.500	65	# In
19.500	19.688	65	# the
19.688	20.062	69	# oil
20.062	20.438	69	# pit
20.438	20.625	65	# our
20.625	20.812	69	# em
20.812	21.000	65	# pire's
21.000	21.562	69	# made
21.562	21.750	69	# Bop
21.750	21.938	69	# bop
21.938	22.125	69	# be
22.125	22.688	69	# dooo
22.688	22.875	65	# the
22.875	23.062	69	# lo
23.062	23.250	65	# gic
23.250	23.438	64	# is
23.438	24.000	67	# drip
24.000	24.188	64	# To
24.188	24.375	67	# tal
24.375	24.562	67	# sys
24.562	24.750	64	# tem
24.750	24.938	64	# ic
24.938	25.125	67	# li
25.125	25.312	67	# que
25.312	25.500	64	# fac
25.500	25.688	64	# tion
25.688	26.250	67	# trip
