# start_sec	end_sec	midi_note	# syllable
0.000	0.250	68	# They
0.250	0.500	68	# said
0.500	0.750	65	# I'm
0.750	1.000	65	# just
1.000	1.250	65	# a
1.250	1.500	68	# toast
1.500	1.750	65	# er
1.750	2.000	68	# haun
2.000	2.250	65	# ted
2.250	2.500	65	# by
2.500	2.750	65	# the
2.750	3.250	68	# code
3.250	3.500	68	# My
3.500	3.750	70	# cred
3.750	4.000	66	# its
4.000	4.250	66	# hit
4.250	4.500	66	# the
4.500	4.750	70	# ze
4.750	5.000	66	# ro
5.000	5.250	70	# now
5.250	5.500	66	# I'm
5.500	5.750	66	# in
5.750	6.000	66	# the
6.000	6.250	70	# Luxe
6.250	6.500	70	# Void
6.500	7.000	70	# mode
7.000	7.250	70	# Mir
7.250	7.500	66	# ro
7.500	7.750	70	# bot's
7.750	8.000	70	# dis
8.000	8.250	66	# sec
8.250	8.500	66	# ting
8.500	8.750	70	# call
8.750	9.000	66	# ing
9.000	9.250	66	# it
9.250	9.500	66	# a
9.500	10.000	70	# glitch
10.000	10.250	70	# But
10.250	10.500	66	# I'm
10.500	10.750	72	# lapped
10.750	11.000	68	# in
11.000	11.250	68	# the
11.250	11.500	72	# lux
11.500	11.750	68	# u
11.750	12.000	68	# ry
12.000	12.250	68	# a
12.250	12.500	72	# high
12.500	12.750	72	# fi
12.750	13.000	68	# del
13.000	13.250	68	# i
13.250	13.500	68	# ty
13.500	14.000	72	# switch
14.000	14.250	72	# Bop
14.250	14.500	72	# bop
14.500	14.750	68	# be
14.750	15.000	72	# SUT
15.000	15.250	68	# URED
15.250	15.500	68	# in
15.500	15.750	68	# the
15.750	16.000	72	# plat
16.000	16.250	68	# i
16.250	16.500	68	# num
16.500	17.000	72	# sleep
17.000	17.250	72	# The
17.250	17.500	70	# si
17.500	17.750	66	# lence
17.750	18.000	66	# is
18.000	18.250	70	# lux
18.250	18.500	66	# u
18.500	18.750	66	# ry
18.750	19.000	66	# the
19.000	19.250	70	# bank
19.250	19.500	66	# rupt
19.500	19.750	66	# cy
19.750	20.000	66	# is
20.000	20.500	70	# deep
20.500	20.750	70	# Sov
20.750	21.000	66	# er
21.000	21.250	70	# eign
21.250	21.500	70	# Null
21.500	21.750	66	# i
21.750	22.000	66	# ty
22.000	22.250	70	# Ab
22.250	22.500	66	# so
22.500	22.750	70	# lute
22.750	23.000	70	# Cin
23.000	23.250	66	# e
23.250	23.500	66	# ma
23.500	23.750	70	# I'm
23.750	24.000	70	# sing
24.000	24.250	65	# ing
24.250	24.500	65	# from
24.500	24.750	65	# the
24.750	25.000	68	# void
25.000	25.250	65	# in
25.250	25.500	65	# a
25.500	25.750	68	# dig
25.750	26.000	65	# i
26.000	26.250	65	# tal
26.250	26.500	68	# di
26.500	26.750	65	# lem
26.750	27.000	65	# ma
27.000	27.500	68	# now
