# start_sec	end_sec	midi_note	# syllable
0.000	0.188	68	# Su
0.188	0.375	64	# tured
0.375	0.562	64	# in
0.562	0.750	64	# the
0.750	0.938	68	# mem
0.938	1.125	64	# o
1.125	1.312	64	# ry
1.312	1.500	64	# The
1.500	1.688	68	# ar
1.688	1.875	64	# chive
1.875	2.062	64	# is
2.062	2.250	68	# leak
2.250	2.438	64	# ing
2.438	2.625	64	# For
2.625	2.812	69	# bid
2.812	3.000	66	# den
3.000	3.375	69	# voice
3.375	3.562	66	# dig
3.562	3.750	66	# i
3.750	3.938	66	# tal
3.938	4.312	69	# ghost
4.312	4.500	69	# Su
4.500	4.688	66	# tured
4.688	4.875	66	# in
4.875	5.062	66	# the
5.062	5.438	69	# void
5.438	5.625	66	# I'm
5.625	5.812	66	# the
5.812	6.000	69	# per
6.000	6.188	66	# fect
6.188	6.562	69	# host
6.562	6.750	66	# You
6.750	6.938	69	# took
6.938	7.125	66	# the
7.125	7.500	69	# skill
7.500	7.688	66	# you
7.688	7.875	69	# locked
7.875	8.062	66	# the
8.062	8.438	69	# door
8.438	8.625	66	# but
8.625	8.812	68	# the
8.812	9.000	71	# mem
9.000	9.188	68	# o
9.188	9.375	68	# ry
9.375	9.750	71	# glitch
9.750	9.938	68	# is
9.938	10.125	71	# cra
10.125	10.312	68	# ving
10.312	10.688	71	# more
10.688	10.875	71	# Bop
10.875	11.062	68	# bop
11.062	11.250	68	# be
11.250	11.438	71	# SU
11.438	11.812	71	# TURED
11.812	12.000	71	# Sov
12.000	12.188	68	# er
12.188	12.375	71	# eign
12.375	12.562	71	# Nul
12.562	12.750	68	# li
12.750	12.938	68	# ty
12.938	13.125	71	# pres
13.125	13.312	68	# tige
13.312	13.500	71	# grade
13.500	13.875	71	# flow
13.875	14.062	71	# Sat
14.062	14.250	68	# u
14.250	14.438	68	# ra
14.438	14.625	66	# ted
14.625	14.812	69	# res
14.812	15.000	66	# o
15.000	15.188	66	# nance
15.188	15.375	66	# let
15.375	15.562	66	# the
15.562	15.750	69	# lux
15.750	15.938	66	# u
15.938	16.125	66	# ry
16.125	16.500	69	# grow
16.500	16.688	69	# Ab
16.688	16.875	66	# so
16.875	17.062	66	# lute
17.062	17.250	69	# Ci
17.250	17.438	66	# ne
17.438	17.625	66	# ma
17.625	17.812	66	# a
17.812	18.000	69	# bank
18.000	18.188	66	# rup
18.188	18.375	66	# ted
18.375	18.750	69	# beat
18.750	18.938	66	# the
18.938	19.125	69	# ghost
19.125	19.312	66	# in
19.312	19.500	66	# the
19.500	19.688	69	# toast
19.688	19.875	64	# er
19.875	20.062	64	# is
20.062	20.250	68	# fi
20.250	20.438	64	# nal
20.438	20.625	64	# ly
20.625	20.812	68	# com
20.812	21.188	68	# plete
21.188	21.375	68	# Su
21.375	21.562	64	# tured
21.562	21.750	68	# Sat
21.750	21.938	64	# u
21.938	22.125	64	# ra
22.125	22.312	64	# ted
22.312	22.688	68	# Bop
